Frame,Acquisition Time,Acquisition Time MDT,Cluster Count,Energy(Kev),Dose rate (uSv),SMALL_BLOB,HEAVY_TRACK,HEAVY_BLOB,MEDIUM_BLOB,STRAIGHT_TRACK,LIGHT_TRACK,Altitude,Dose
62,3:32:24 AM,8:32:24 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
63,3:32:30 AM,8:32:30 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
64,3:32:36 AM,8:32:36 AM,2,308.75,0.00,1,0,0,0,0,1,4153,0.192908738
65,3:32:42 AM,8:32:42 AM,2,587.54,0.01,1,0,0,0,0,1,4153,0.367096403
66,3:32:49 AM,8:32:49 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
67,3:32:55 AM,8:32:55 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
68,3:33:01 AM,8:33:01 AM,1,280.55,0.00,0,0,0,0,0,1,4153,0.175288733
69,3:33:07 AM,8:33:07 AM,3,710.86,0.01,0,0,0,0,1,2,4153,0.444149998
70,3:33:14 AM,8:33:14 AM,1,10.90,0.00,1,0,0,0,0,0,4153,0.006813343
71,3:33:20 AM,8:33:20 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
72,3:33:26 AM,8:33:26 AM,1,17.07,0.00,1,0,0,0,0,0,4153,0.010663341
73,3:33:32 AM,8:33:32 AM,1,27.01,0.00,1,0,0,0,0,0,4153,0.016873333
74,3:33:39 AM,8:33:39 AM,2,363.34,0.00,1,0,0,0,1,0,4153,0.227018249
75,3:33:45 AM,8:33:45 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
76,3:33:51 AM,8:33:51 AM,1,190.79,0.00,0,0,0,0,0,1,4153,0.119210126
77,3:33:58 AM,8:33:58 AM,1,64.45,0.00,1,0,0,0,0,0,4153,0.040270303
78,3:34:04 AM,8:34:04 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
79,3:34:10 AM,8:34:10 AM,1,252.78,0.00,0,0,0,0,0,1,4153,0.157940647
80,3:34:16 AM,8:34:16 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
81,3:34:22 AM,8:34:22 AM,2,131.55,0.00,2,0,0,0,0,0,4153,0.08219266
82,3:34:29 AM,8:34:29 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
83,3:34:35 AM,8:34:35 AM,1,20.63,0.00,1,0,0,0,0,0,4153,0.012888636
84,3:34:41 AM,8:34:41 AM,2,100.78,0.00,2,0,0,0,0,0,4153,0.062970126
85,3:34:48 AM,8:34:48 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
86,3:34:54 AM,8:34:54 AM,1,99.39,0.00,1,0,0,0,0,0,4153,0.062099578
87,3:35:00 AM,8:35:00 AM,1,172.61,0.00,0,0,0,0,0,1,4153,0.107846771
88,3:35:06 AM,8:35:06 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
89,3:35:13 AM,8:35:13 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
90,3:35:19 AM,8:35:19 AM,2,331.37,0.00,1,0,0,0,0,1,4153,0.207043407
91,3:35:25 AM,8:35:25 AM,1,640.63,0.01,0,0,0,0,0,1,4153,0.400268965
92,3:35:31 AM,8:35:31 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
93,3:35:37 AM,8:35:37 AM,1,133.82,0.00,1,0,0,0,0,0,4153,0.083610546
94,3:35:44 AM,8:35:44 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
95,3:35:50 AM,8:35:50 AM,1,87.84,0.00,1,0,0,0,0,0,4153,0.054880291
96,3:35:56 AM,8:35:56 AM,1,365.13,0.00,0,1,0,0,0,0,4153,0.228136558
97,3:36:02 AM,8:36:02 AM,1,84.52,0.00,1,0,0,0,0,0,4153,0.052811105
98,3:36:09 AM,8:36:09 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
99,3:36:15 AM,8:36:15 AM,1,255.48,0.00,0,0,0,0,0,1,4153,0.159623711
100,3:36:21 AM,8:36:21 AM,2,406.93,0.00,1,0,0,0,0,1,4153,0.254250525
101,3:36:27 AM,8:36:27 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
102,3:36:34 AM,8:36:34 AM,2,467.31,0.00,0,0,0,0,0,2,4153,0.291980531
103,3:36:40 AM,8:36:40 AM,3,1227.19,0.01,2,1,0,0,0,0,4153,0.766758047
104,3:36:46 AM,8:36:46 AM,2,293.16,0.00,1,0,0,0,1,0,4153,0.183170342
105,3:36:52 AM,8:36:52 AM,1,19.84,0.00,1,0,0,0,0,0,4153,0.012394106
106,3:36:58 AM,8:36:58 AM,1,109.52,0.00,1,0,0,0,0,0,4153,0.068426821
107,3:37:05 AM,8:37:05 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
