"Date","Time","---","Sensor Name","Data"
"4:31:49","9/2/17","DATA","PRESSURE_S:","875.34"
"4:31:52","9/2/17","DATA","PRESSURE_S:","875.74"
"4:31:56","9/2/17","DATA","PRESSURE_S:","876.08"
"4:32:00","9/2/17","DATA","PRESSURE_S:","876.48"
"4:32:03","9/2/17","DATA","PRESSURE_S:","876.44"
"4:32:07","9/2/17","DATA","PRESSURE_S:","876.10"
"4:32:10","9/2/17","DATA","PRESSURE_S:","875.72"
"4:32:13","9/2/17","DATA","PRESSURE_S:","875.84"
"4:32:17","9/2/17","DATA","PRESSURE_S:","875.62"
"4:32:21","9/2/17","DATA","PRESSURE_S:","875.72"
"4:32:24","9/2/17","DATA","PRESSURE_S:","875.78"
"4:32:28","9/2/17","DATA","PRESSURE_S:","875.84"
"4:32:31","9/2/17","DATA","PRESSURE_S:","875.78"
"4:32:34","9/2/17","DATA","PRESSURE_S:","875.90"
"4:32:38","9/2/17","DATA","PRESSURE_S:","875.86"
"4:32:42","9/2/17","DATA","PRESSURE_S:","876.10"
"4:32:45","9/2/17","DATA","PRESSURE_S:","876.00"
"4:32:48","9/2/17","DATA","PRESSURE_S:","876.00"
"4:32:52","9/2/17","DATA","PRESSURE_S:","876.00"
"4:55:01","9/2/17","DATA","PRESSURE_S:","875.70"
"4:55:05","9/2/17","DATA","PRESSURE_S:","875.70"
"4:55:08","9/2/17","DATA","PRESSURE_S:","875.70"
"4:55:12","9/2/17","DATA","PRESSURE_S:","876.00"
"5:11:02","9/2/17","DATA","PRESSURE_S:","875.20"
"5:11:06","9/2/17","DATA","PRESSURE_S:","875.50"
"5:11:09","9/2/17","DATA","PRESSURE_S:","875.50"
"5:11:12","9/2/17","DATA","PRESSURE_S:","875.50"
"5:11:16","9/2/17","DATA","PRESSURE_S:","876.30"
"5:11:20","9/2/17","DATA","PRESSURE_S:","875.60"
"5:11:23","9/2/17","DATA","PRESSURE_S:","875.60"
"5:11:27","9/2/17","DATA","PRESSURE_S:","875.54"
"5:11:30","9/2/17","DATA","PRESSURE_S:","875.48"
"5:11:34","9/2/17","DATA","PRESSURE_S:","875.52"
"5:11:37","9/2/17","DATA","PRESSURE_S:","875.36"
"5:11:41","9/2/17","DATA","PRESSURE_S:","875.46"
"5:11:44","9/2/17","DATA","PRESSURE_S:","875.46"
"5:11:48","9/2/17","DATA","PRESSURE_S:","875.34"
"5:11:51","9/2/17","DATA","PRESSURE_S:","875.28"
"5:11:55","9/2/17","DATA","PRESSURE_S:","875.26"
"5:11:58","9/2/17","DATA","PRESSURE_S:","875.10"
"5:39:26","9/2/17","DATA","PRESSURE_S:","875.70"
"5:39:29","9/2/17","DATA","PRESSURE_S:","874.80"
"5:39:33","9/2/17","DATA","PRESSURE_S:","874.80"
"5:39:36","9/2/17","DATA","PRESSURE_S:","874.30"
"5:39:40","9/2/17","DATA","PRESSURE_S:","874.80"
"5:39:43","9/2/17","DATA","PRESSURE_S:","874.88"
"5:39:47","9/2/17","DATA","PRESSURE_S:","874.82"
"5:39:50","9/2/17","DATA","PRESSURE_S:","874.88"
"5:39:54","9/2/17","DATA","PRESSURE_S:","875.04"
"5:39:57","9/2/17","DATA","PRESSURE_S:","875.20"
"5:40:01","9/2/17","DATA","PRESSURE_S:","875.04"
"5:40:04","9/2/17","DATA","PRESSURE_S:","875.08"
"5:40:08","9/2/17","DATA","PRESSURE_S:","875.18"
"5:40:11","9/2/17","DATA","PRESSURE_S:","875.02"
"5:40:15","9/2/17","DATA","PRESSURE_S:","875.06"
"5:40:18","9/2/17","DATA","PRESSURE_S:","875.32"
"5:40:22","9/2/17","DATA","PRESSURE_S:","875.16"
